date,time,temperature,humidity,wind_speed,precipitation
1/14/2022,2:00:00,12.703501,57,2.8580618,0
1/14/2022,4:00:00,15.678499,42,2.9448972,0
1/14/2022,6:00:00,17.7535,29.5,4.775108,0
1/14/2022,8:00:00,18.203499,24.5,4.008048,0
1/14/2022,10:00:00,17.203499,27,6.231472,0
1/14/2022,12:00:00,15.453501,39.5,11.081383,0
1/14/2022,14:00:00,14.2785,56,11.067668,0
1/14/2022,16:00:00,13.3785,65,9.65163,0
1/14/2022,18:00:00,12.5535,71.5,8.797649,0
1/14/2022,20:00:00,11.8535,76,8.102592,0
1/14/2022,22:00:00,11.1285,79.5,11.000375,0
1/15/2022,0:00:00,10.5285,80,8.164074,0
1/15/2022,2:00:00,11.778501,69.5,8.216351,0
1/15/2022,4:00:00,15.0285,49.5,6.7635307,0
1/15/2022,6:00:00,17.6785,38.5,5.4564705,0
1/15/2022,8:00:00,18.753498,36,7.4407816,0
1/15/2022,10:00:00,17.6785,40,5.3809347,0
1/15/2022,12:00:00,15.6285,45.5,11.823366,0
1/15/2022,14:00:00,14.328501,51,11.845108,0
1/15/2022,16:00:00,13.6285,53.5,11.831747,0
1/15/2022,18:00:00,12.6035,55.5,10.936229,0
1/15/2022,20:00:00,12.2285,55,11.760817,0
1/15/2022,22:00:00,11.9285,53,13.197962,0
1/16/2022,0:00:00,10.9785,54.5,13.634619,0
1/16/2022,2:00:00,12.2535,47.5,11.360458,0
1/16/2022,4:00:00,15.728499,33.5,10.323252,0
1/16/2022,6:00:00,18.4285,26,10.934374,0
1/16/2022,8:00:00,19.4285,25.5,13.248859,0
1/16/2022,10:00:00,18.1035,30,14.025125,0
1/16/2022,12:00:00,15.828501,37,9.605858,0
1/16/2022,14:00:00,14.703501,40.5,6.906213,0
1/16/2022,16:00:00,13.828501,42.5,4.9435616,0
1/16/2022,18:00:00,12.7785,44,6.049285,0
1/16/2022,20:00:00,11.953501,45,5.7386646,0
1/16/2022,22:00:00,11.4785,46,4.536255,0
1/17/2022,0:00:00,11.1035,47,4.460327,0
1/17/2022,2:00:00,12.6285,41,5.049411,0
1/17/2022,4:00:00,15.553499,31.5,4.225633,0
1/17/2022,6:00:00,17.328499,24.5,6.1313057,0
1/17/2022,8:00:00,18.5285,20.5,5.2566943,0
1/17/2022,10:00:00,17.453499,23,9.622862,0
1/17/2022,12:00:00,15.2785,31.5,4.778319,0
1/17/2022,14:00:00,14.3035,35.5,5.6141615,0
1/17/2022,16:00:00,13.453501,39.5,5.6028004,0
1/17/2022,18:00:00,12.578501,41.5,8.138902,0
1/17/2022,20:00:00,11.7785,42,8.044925,0
1/17/2022,22:00:00,11.1535,42,12.440106,0
1/18/2022,0:00:00,10.5535,41,10.565752,0
1/18/2022,2:00:00,12.078501,36,10.118846,0
1/18/2022,4:00:00,15.5285,28.5,11.852966,0
1/18/2022,6:00:00,18.0285,26.5,13.965027,0
1/18/2022,8:00:00,19.228498,25.5,17.591614,0
1/18/2022,10:00:00,17.728498,30,19.937614,0
1/18/2022,12:00:00,15.4035,33.5,12.562565,0
1/18/2022,14:00:00,14.3285,35.5,15.713154,0
1/18/2022,16:00:00,13.3035,38,14.461714,0
1/18/2022,18:00:00,12.4785,39.5,11.766512,0
1/18/2022,20:00:00,11.903501,41.5,13.355173,0
1/18/2022,22:00:00,11.3535,43,15.19842,0
1/19/2022,0:00:00,10.9785,44,12.773583,0
1/19/2022,2:00:00,12.6035,41,10.280859,0
1/19/2022,4:00:00,16.0035,36,8.462826,0
1/19/2022,6:00:00,18.953499,32.5,5.1287303,0
1/19/2022,8:00:00,19.953499,32.5,12.928938,0
1/19/2022,10:00:00,18.703499,40,14.686661,0
1/19/2022,12:00:00,17.2785,45,11.849876,0
1/19/2022,14:00:00,16.128498,49,8.446367,0
1/19/2022,16:00:00,15.5285,52.5,6.0660076,0
1/19/2022,18:00:00,14.5035,55.5,3.90423,0
1/19/2022,20:00:00,13.8035,58.5,5.6760893,0
1/19/2022,22:00:00,13.1535,61,5.7858877,0
1/20/2022,0:00:00,12.6035,62,5.9212275,0
1/20/2022,2:00:00,14.1535,55,5.2712545,0
